UID,Population,City,Latitude,Longitude,Distance,Habitat
AS087,87,Toronto,43.568721,-79.651832,14.84,Urban
AS002,2,Toronto,43.550225,-79.654062,15.51,Urban
AS025,25,Toronto,43.534585,-79.645432,15.68,Rural
AS001,1,Toronto,43.550556,-79.663,15.89377953,Rural
AS004,4,Toronto,43.562538,-79.674057,16.03360391,Rural
AS007,7,Toronto,43.566504,-79.680149,16.21,Rural
AS079,79,Toronto,43.618104,-79.701542,16.25,Rural
AS080,80,Toronto,43.613475,-79.705867,16.52,Rural
AS081,81,Toronto,43.595802,-79.719547,17.45,Rural
AS082,82,Toronto,43.553597,-79.699608,17.45,Rural
AS084,84,Toronto,43.564655,-79.720469,18.13,Rural
AS083,83,Toronto,43.571026,-79.733337,18.59,Rural
AS063,63,Toronto,43.535065,-79.721652,19,Rural
AS062,62,Toronto,43.534939,-79.732912,19.51,Rural
AS086,86,Toronto,43.554564,-79.756834,20.08,Rural
AS060,60,Toronto,43.519441,-79.750471,20.77,Rural
AS012,12,Toronto,43.492717,-79.748081,21.58,Rural
AS094,94,Toronto,43.516263,-79.77922,22.16,Rural
AS014,14,Toronto,43.438669,-79.780878,25.05,Rural
AS031,31,Toronto,43.484111,-79.837702,25.78,Rural
AS021,21,Toronto,43.457451,-79.866815,27.94,Rural
AS020,20,Toronto,43.433302,-79.902403,30.32,Rural
AS019,19,Toronto,43.434125,-79.903894,30.36,Rural
AS034,34,Toronto,43.399222,-79.930576,32.77,Rural
AS032,32,Toronto,43.41401,-79.953028,33.19,Rural
AS033,33,Toronto,43.387612,-79.959232,34.41,Rural
AS035,35,Toronto,43.377146,-79.973861,35.42,Rural
AS036,36,Toronto,43.371308,-79.981819,35.98,Rural
AS059,59,Toronto,43.343046,-79.959704,36.19,Rural
AS058,58,Toronto,43.335538,-79.962974,36.64,Rural
AS037,37,Toronto,43.363349,-80.01471,37.66,Rural
AS057,57,Toronto,43.330042,-79.995566,38.18,Rural
AS046,46,Toronto,43.358912,-80.043033,39.03,Rural
AS047,47,Toronto,43.357422,-80.052572,39.49,Rural
AS056,56,Toronto,43.32296,-80.038276,40.2,Rural
AS049,49,Toronto,43.321018,-80.049313,40.74,Rural
AS048,48,Toronto,43.349551,-80.098407,41.74,Rural
B1,95,Brantford,43.114282,-80.328268,3.76,Rural
B10,96,Brantford,43.196405,-80.198408,5.04,Rural
B11,97,Brantford,43.108108,-80.355258,5.16,Rural
B4,98,Brantford,43.126148,-80.278978,1.29,Urban
B6,99,Brantford,43.177989,-80.265461,2.57,Urban
B8,100,Brantford,43.178835,-80.287013,2.89,Urban
G12,101,Guelph,43.558699,-80.222264,1.67,Urban
G15,102,Guelph,43.545322,-80.156253,4.6,Rural
G16,103,Guelph,43.569343,-80.172095,4.2,Rural
G2,104,Guelph,43.488645,-80.217473,4.09,Rural
G3,105,Guelph,43.505313,-80.232382,2.75,Urban
G8,106,Guelph,43.531518,-80.199107,2.38,Urban
K1,107,Kitchner,43.421517,-80.613797,6.43,Rural
K11,108,Kitchner,43.418688,-80.484793,2.31,Urban
K17,109,Kitchner,43.451717,-80.368182,6.24,Rural
K2,110,Kitchner,43.477411,-80.591611,5.28,Urban
K5,111,Kitchner,43.502319,-80.622583,7.4,Rural
K9,112,Kitchner,43.440964,-80.488573,0.76,Urban
L14,113,London,42.962418,-81.218091,1.95,Urban
L15,114,London,42.879973,-81.175525,8.04,Rural
L16,115,London,42.982464,-81.092815,7.03,Rural
L6,116,London,43.07773,-81.212748,6.22,Rural
L7,117,London,43.040906,-81.263923,3.95,Urban
L8,118,London,43.015388,-81.266031,2.53,Urban
S10,119,StCatharines,43.115621,-79.245775,3.02,Urban
S11,120,StCatharines,43.162982,-79.308833,3.13,Rural
S2,121,StCatharines,43.20129,-79.26812,3.09,Urban
S4,122,StCatharines,43.161189,-79.235386,0.6,Urban
S8,123,StCatharines,43.109173,-79.258208,3.51,Rural
S9,124,StCatharines,43.107466,-79.287199,4.12,Rural
